Indicador;2010;2011;2012;2013;2014;2015;2016;2017;2018
Robo o asalto en la calle o transporte público;7,413;8,570;10,037;12,294;11,903;9,995;9,599;11,081;10,775
Extorsión;7,239;5,653;7,585;9,790;9,850;8,600;8,945;7,719;6,542
Robo parcial de vehículo;3,127;3,294;4,227;4,218;4,213;3,457;3,611;3,755;3,645
Fraude;2,658;2,499;3,319;3,981;4,255;3,906;4,656;5,341;5,397
Amenazas verbales;2,419;2,264;3,612;3,808;4,109;2,835;2,872;3,323;3,253
Robo en casa habitación;2,114;2,231;2,656;2,689;2,534;2,496;2,437;2,745;2,598
Robo en forma distinta a las anteriores;1,882;1,432;502;1,524;1,474;1,318;1,882;1,782;1,889
Lesiones;1,560;1,198;1,376;1,304;1,433;1,299;1,154;1,176;1,181
Otros delitos distintos a los anteriores;1,550;1,269;1,037;1,199;1,211;1,042;1,272;1,713;1,833
Robo total de vehículo;574;790;788;755;674;547;589;733;693
