Entidad;2010;2011;2012;2013;2014;2015;2016;2017;2018
Estados Unidos Mexicanos;69.5;66.6;72.3;73.3;73.2;72.4;74.3;79.4;78.9
Aguascalientes;60.8;46.5;51.8;49.1;43.2;42.5;43.7;60.9;56.4
Baja California;58.2;51.6;51.5;53.7;53.2;56.8;58;72.7;66.4
Baja California Sur;37.1;24.4;30.1;39.3;61.8;44.2;60.9;65.3;48.2
Campeche;51.2;44.6;56.7;58.9;53.7;54.4;57.6;57.8;61
Coahuila de Zaragoza;64.6;74.6;82;78.5;74.9;55.9;56.4;64;57.1
Colima;65.8;70.8;71.1;56.9;56.5;72;74.5;80.5;77.8
Chiapas;38.3;37.9;51;62.1;54.6;57.2;61.1;71.4;68.8
Chihuahua;89.5;82.7;78;75.2;73.6;63.1;74.2;80.9;80.8
Ciudad de México;75.3;70.8;73;77.6;78.5;84.6;85.7;88.3;89.2
Durango;88.1;81.8;77.8;73.5;68;57;57.4;60.4;64.7
Guanajuato;54;54.1;58.8;64.8;64.8;59.6;75.2;83;88.8
Guerrero;72.5;74.4;86.9;78.9;86.8;84.7;83.1;84.2;84.7
Hidalgo;55.3;49.2;56.3;65.5;62.1;56.6;55.1;63.3;65.5
Jalisco;71.2;61.5;75.9;68;69.6;69.1;65.7;73.6;77.7
México;83.9;84.5;90.7;92.6;90.6;90.6;90.7;91.8;88.8
Michoacán de Ocampo;76.1;76;80.3;82;79.8;71.7;77.6;81.9;80.2
Morelos;80.8;81.2;86.5;89;86.3;84.3;86.3;86.4;88.5
Nayarit;79.3;72.9;56.6;51.1;55.5;48.5;58.6;83.5;60.5
Nuevo León;84.6;86.7;80.2;73;70.7;73.5;71.1;75.1;81.7
Oaxaca;73.3;60.7;66.9;77.1;77.7;75.3;74.1;76.6;71.2
Puebla;64;57.1;63.3;63.6;67.4;68.4;68.1;81.4;87.7
Querétaro;30.2;29.4;41.1;38.5;50.7;62.1;54.4;62;62
Quintana Roo;63.9;59.9;70;67;61;58.8;68.5;73.3;82.1
San Luis Potosí;76.3;60;77.8;73.1;69.2;72.1;73.7;81.3;77.6
Sinaloa;80.8;77.4;77.7;72.1;70.5;72.2;74.5;72.6;64.6
Sonora;46;42.4;52.5;57.2;62.5;51.3;57.4;66.9;68.3
Tabasco;77.7;71.2;83.4;86.1;88.9;87.9;88.8;91.9;90.2
Tamaulipas;83.4;82.9;84.1;83.9;86.9;86.2;85.2;86.4;83.1
Tlaxcala;41.6;40.1;52.1;60;59.2;55.1;59.1;68.8;69.4
Veracruz de Ignacio de la Llave;64.8;70;75.4;80.7;80.5;85.1;89.9;88.8;87.6
Yucatán;26.6;19.2;32.2;29.5;33.8;31.5;27.2;32.5;37.5
Zacatecas;83.1;80.5;84.7;80.3;80.9;82.5;84.4;89.5;80.6
